PK,SK,GSI1PK,GSI1SK,type,title,description,content,coverImage,publishedAt,updatedAt,status,categoryID,categoryName,tagName,articleCount
a#1001,t#t001,t#t001,2023-12-01T10:00:00Z,article_tag,DynamoDBの基本,,,,,,,,,,
a#1001,t#t003,t#t003,2023-12-01T10:00:00Z,article_tag,DynamoDBの基本,,,,,,,,,,
a#1002,t#t001,t#t001,2023-12-05T14:30:00Z,article_tag,シングルテーブル設計のメリット,,,,,,,,,,
a#1002,t#t002,t#t002,2023-12-05T14:30:00Z,article_tag,シングルテーブル設計のメリット,,,,,,,,,,
a#1003,t#t002,t#t002,2023-12-10T09:15:00Z,article_tag,Next.jsとVercelのデプロイ,,,,,,,,,,
a#1003,t#t004,t#t004,2023-12-10T09:15:00Z,article_tag,Next.jsとVercelのデプロイ,,,,,,,,,,
a#1004,t#t004,t#t004,2023-11-15T08:30:00Z,article_tag,ReactとTypeScriptの始め方,,,,,,,,,,
a#1004,t#t005,t#t005,2023-11-15T08:30:00Z,article_tag,ReactとTypeScriptの始め方,,,,,,,,,,
a#1005,t#t002,t#t002,2024-01-05T11:20:00Z,article_tag,AWSのサーバーレスアーキテクチャ,,,,,,,,,,
a#1005,t#t006,t#t006,2024-01-05T11:20:00Z,article_tag,AWSのサーバーレスアーキテクチャ,,,,,,,,,,
a#1006,t#t007,t#t007,2024-01-10T16:45:00Z,article_tag,GraphQLの基礎と実践,,,,,,,,,,
a#1006,t#t008,t#t008,2024-01-10T16:45:00Z,article_tag,GraphQLの基礎と実践,,,,,,,,,,
category,c001,category,データベース,category,,,,,,,,,,データベース,
category,c002,category,フロントエンド,category,,,,,,,,,,フロントエンド,
category,c003,category,サーバーレス,category,,,,,,,,,,サーバーレス,
category,c004,category,APIデザイン,category,,,,,,,,,,APIデザイン,
tag,t001,tag,DynamoDB,tag,,,,,,,,,,DynamoDB,2
tag,t002,tag,AWS,tag,,,,,,,,,,AWS,3
tag,t003,tag,NoSQL,tag,,,,,,,,,,NoSQL,1
tag,t004,tag,Next.js,tag,,,,,,,,,,Next.js,2
tag,t005,tag,TypeScript,tag,,,,,,,,,,TypeScript,1
tag,t006,tag,サーバーレス,tag,,,,,,,,,,サーバーレス,1
tag,t007,tag,GraphQL,tag,,,,,,,,,,GraphQL,1
tag,t008,tag,API,tag,,,,,,,,,,API,1
y#2023,m#11,,,date_stats,,,,,,,,,,,1
y#2023,m#12,,,date_stats,,,,,,,,,,,3
y#2024,m#01,,,date_stats,,,,,,,,,,,2
